Store Name,Street Address,Latitude,Longitude
Yeouido Allianz,"45-21, Yeouido-dong, Yeongdeungpo-gu",37.52,126.93
Sungshin Woman Univ maingate,"Dongseon-dong 2 134, Seongbuk-gu",37.59,127.02
Cheonho,"455-4, Cheonho dong, Gangdong-gu",37.54,127.13
Guui DT,"67-37, Guui-dong, Gwangjin-gu",37.55,127.09
Naebang Station,"851-1 Bangbae-dong, Seocho-gu",37.49,126.99
Eunpyeong-gu Office Entrance,"96-1, Eungam 1-dong, Eunpyeong-gu",37.6,126.93
Isu Station,"3000-1 Bangbae-dong, Seocho-gu",37.49,126.99
Dunchondong,"441-2, Seongnae-dong, Gangdong-gu",37.52,127.13
Hotel Guro,"1128-1, Guro 3(sam)-dong Guro-gu",37.48,126.9
Sangil Dong,"373-1, Sangil-dong, Gangdong-gu",37.33,127.1
Omokgyo Station,"404-13, Mok-dong, Yangcheon-gu, Ace Tower",37.52,126.88
Soonhwadong ACE,"1-170 Sunhwa-Dong, Jung-Gu, 1F, Samhwa Printing Bldg. 15",37.56,126.97
Euiljiro Center,"Euljiro 2-ga, Jung-gu, 1F",37.57,126.98
Namsan State Tower,6-11 Hoehyeon-dong 2-ga Jung-gu,37.56,126.98
Seoul City Hall 2,"50 Euiljiro-1ga, Jung-gu",37.57,126.98
Seocho Paragon,"1327-29 Seocho-dong, Seocho-gu",37.29,127.14
Yeouido Park,"17-3 Yeouido-dong, Yeongdeungpo-gu",37.53,126.92
Balsan Station,"678-14, Deungchon 3-dong, Gangseo-gu",37.56,126.84
Sogong-Ro Bukchang,"112-4, Sogong-dong, Jung-gu",37.56,126.98
Shindang sageori,"Heungin-dong, Jung-gu",37.57,127.02
Sangam Saboicity,"1597 Sangam-dong, Mapo-gu",37.58,126.89
Mario Outlet 1F,"1F, Mario 60-52, Gasan-dong, Geumcheon-gu",37.48,126.89
Gyodae Station,"1693-3, Seocho-dong, Seocho-gu",37.49,127.01
Jongrogu office,"Sambongro, 51-8, Susongdong, Jongrogu, Seoul",37.57,126.98
Shinchon-Myungmul Steet,"13-19 Changcheon-Dong, Seodaemun-Gu, 1 - 5F",37.56,126.94
Dongsungro Artcenter,"30 Dongsung-Dong, Jongro-Gu",37.58,127.0
Nonhyeon Station,"37-7, Jamwon-dong, Seocho-gu",37.51,127.02
Janghanpyeong-station,"433-7 Jangan-dong,Dongdaemun-gu",37.56,127.07
Jongro-Gwancheol,"12-15 Gwancheol-Dong, Jongro-Gu, 2F",37.57,126.99
Sagajeong Station,"617-2, Myeonmok-dong, Jungrang-gu",37.58,127.09
Famille Park Dome,"19-3, Banpo-dong, Seocho-gu",37.5,127.0
Yoido Hanyang Securities,"Hanyang Bldg. Yeouido-dong, Yeongdeungpo-gu Seoul",37.52,126.93
Myeongdong-gil,"7-1, Chungmuro 2-ga, Jung-gu",37.56,126.99
Hoehyun station,Toegyero,37.56,126.98
Yeomchang Station,282-23. Yeomchang-dong,37.55,126.88
Daeheung Station,"111-1 Daeheung-dong, Mapo-gu",37.55,126.94
Samsung Gyo,"1001-10, Daechi-dong, Gangnamgu",37.3,127.35
East Yeouido,"43-4, Yeouido-dong, Yeongdeungpo-gu,",37.52,126.93
Songpa I-Park,"624, Munjeong-dong, Songpa-gu",37.48,127.12
Gildong Station,"378-3,Gildong,Gangdong-gu",37.54,127.14
Sunjeongreung Station,"37-17 samsung-dong,Gangnam-gu",37.51,127.04
Coex Mall,"O103 Coex Mall 159, Samsung-dong, Gangna",37.51,127.06
Ssangmoon-station,"659-5, Chang-Dong, Dobong-Gu",37.39,127.26
New Garosugil,"529-10 Sinsa-dong, Gangnam-gu",37.31,127.12
Mokdong Hyperion,"205-102.103.201. Hiperion  Mok 1, (il) dong Yangcheon-gu",37.31,126.52
Junggye Station,"763-3, Sanggyedong Nowongu",37.65,127.06
Kunkuk Classic 500,"227-7, Jayang-dong, Gwangjin-gu",37.54,127.07
Myungdong Jungangro,"2-19, Myungdong2ga, Junggu",37.56,126.99
Seoul Arts Center Front,"1464-22, Seocho-dong, Seocho-gu",37.48,127.01
Sincheon station,"180 Jamsil-dong, Songpa-gu district, Hyeonu Building",37.3,127.45
Seochodong,"1439-14 Seocho-Dong, Seocho-Gu, 1F",37.49,127.02
D Cube City - B2,"369-51 Shindorim-Dong, Guro-Gu, B2",37.51,126.89
Hongdae Station,"159-1,Donggyo-dong, Mapo-gu, IFC Mall",37.6,127.0
Yoido IFC Mall - 1F,"23 & 23-1, Yoido-Dong, Yongdongpo-Gu, 1F, #101",37.53,126.92
Yeoksamchogyo Sageori,"830-71, Yeoksam-dong, Gangnam-gu",37.49,127.03
Miasageori Station,"35-30, Mia-dong, Gangbuk-gu",37.61,127.03
Sinsuldong station,"76-10, Sinsuldong, Dongdaemungu. Seoul",37.58,127.03
Nonhyeon Hiltop,"216-5 Nonhyeon 2-Dong, Gangnam-Gu",37.51,127.03
Sinnonhyeon Station,"748-1, banpo-dong, Seocho-gu",37.51,127.02
Yeoksam Lucky APT,"798-30, Yeoksam-dong, Gangnam-gu",37.49,127.04
Soongsil Univ. Station,"475-4, 475-5, Sangdo 1-dong, Dongjak-gu,, Bora TR Building",37.5,126.95
Chungdam Park,"53, Samsung-Dong, Gangnam-Gu, 1F",37.52,127.05
Jungrang Station,130-3 sangbong-dong jungrang-gu Seoul,37.59,127.07
Gangnam GT Tower,"1317-23 Seocho-Dong, Seocho-Gu",37.5,127.03
Sangwangsimni station,"860, Hawangsimni-dong, Seongdong-gu",37.56,127.03
Guui Station,"246-15, Guui-dong, Gwangjin-gu",37.54,127.08
Time Square B2,"442 Yeongdeungpo-Dong 4Ga, Artrium B2, Yeonsinnae - Art Castle",37.52,126.9
Yeonsinnae - Art Castle,"198-10, Daejo-Dong, Eunpyung-Gu",37.62,126.92
songpa-gu office,"22-5, bangi dong, songpa-gu",37.51,127.11
Yonsei Baekyangro,"50 Yeonsero, Seodaemun-gu",37.56,126.94
Seocho byeopwon,"1716-4, seochodong",37.49,127.01
Dogok Station,"651, Daechi-dong,Gangnam-gu",37.49,127.06
Entersix Hanyangdae,"155-1, Haengdang-dong, Seongdong-gu",37.56,127.04
Sogong Chosun,"70 Sogong-dong, Jung-gu district",37.56,126.98
Sookdaeipgu Station 4 Line,"69-5, Galwol-dong, Yongsan-gu, 1-3F",37.54,126.97
Daechi intersection,"960-5, gangnamgu",37.5,127.06
Hapjeong station Prugio,"384-1 Hapjeong-dong, Mapo-gu",37.55,126.91
Oryudong Station,"55-50, Oryu-dong, Guro-gu",37.5,126.84
Nakseongdae DT,"1657-3 Bongcheon-dong, Gwanak-gu",37.48,126.97
Dosan Daero,"52-1, Cheongdam-dong, Gangnam-gu, Kwangwoon University",37.31,127.36
Kwangwoon University,"410-1, Wolgye-Dong, Nowon-Gu, 1-4F",37.62,127.06
Saemunanro,"92 Saemunan-ro, Jongno-gu",37.57,126.97
Hyundai Cheonho B1,"455-8, Cheonho dong, Gangdong-gu, Seoul,",37.54,127.12
Yeoksam Daero,"678-39, Yeoksamdong, Gangnam - Gu District",37.51,127.03
Deungchon,"668-9, Deungchon 3-dong, Gangseo-gu",37.56,126.84
Anam station,"92, Anamdong 5ga, Sungbukgu",37.59,127.03
Jungnang-gu office,"563-3 Sinnae-dong, Jurang-gu",37.61,127.1
Junggu Samgak,"115,Samgakdong, Junggu, Seoul",37.57,126.98
Gyodae High Court,"1699-3, Seocho-Dong, Seocho-Gu",37.5,127.01
Jongro Gwansu,"3-5, Gwansudong, Jongro-gu",37.57,126.99
Yangcheon Hyanggyo,Magokro,37.57,126.84
Gangnam Station,"816, Yeoksam-dong, Gangnam-gu",37.5,127.03
Cheonggyesan Station,"205-1 Sinwon-dong, Seocho-gu",37.45,127.06
chungang univ.,"heukseok-dong 205-5, dongjak-gu",37.51,126.96
Sadangrodeo,"444-7 Bangbae-dong, Seocho-gu, Gongdeok E-Mart, Daewoo World Mark",37.48,126.98
Mapo E-mart,"Singongdeok-Dong, Mapo-Gu, 2F",37.54,126.95
Olympic Park South Gate,"165-3 Bangi-dong,Songpa-gu",37.51,127.12
Bukchon-ro,"112, Gye-dong, Jongno-gu",37.58,126.99
Samsung City Airport,"154-10, Samseong1-dong, Gangnam-gu, Yungjeon Building",37.3,127.33
Sinnonhyun station,809-10 yeoksamdong gangnamgu,37.5,127.03
Dangsan,338-1 Dangsan-dong 6-ga Yeongdeungpo-gu,37.54,126.9
Guro Digitalro,"Ace Techno 8-cha Guro 3-dong, Guro-gu",37.34,126.73
Nowon KT,"723, Sanggaedong, Nowon-gu",37.65,127.06
Junggu Jeodong,"24-1,25-1, Jeodong 2-ga, Jung-gu",37.56,126.99
Jongno Susong,"19, Cheongjin-dong, Jongno-gu, Chungmu Building",37.57,126.98
Chungmuro Station,"Pil-Dong 2-Ga, Jung-Gu, 1F",37.56,126.99
Sinsa garosu,"533-11 Sinsa-dong,Gangnam-gu,Seoul",37.52,127.02
Seokchon West Lake,"130-2 Samjeondong,Songpa-gu",37.51,127.1
Seoul Segwan Sageori,"238-5, Nonhyun-dong, Gangnam-gu, Hosung Building",37.51,127.04
Yoido Hosung,"44-22 Yeouido-Dong, Yeongdeungpo-Gu",37.52,126.93
Suwon Sungkyunkwan University,"285-6, Yuljeon-dong, Jangan-gu, Jangan",37.3,126.97
Jongro 2-ga,"75-4, Insadong, Jongrogu, Seoul",37.57,126.99
Seokchon Lake,"7-4 Songpa-dong, Songpa-gu",37.3,127.62
Yeouido Ilshin,15-15. Yeouido-dong Yeongdeungpo-guSeoul,37.53,126.92
Sangbong-station,"100-2, Sangbong-dong, Jungrang-gu",37.6,127.09
Daechi Eunma intersection,"941-19 Daechidong, Gangnamgu",37.5,127.06
Seoul Womens Univ.,"621 Hwarang-ro Nowon-gu, Seoul, Korea",37.37,127.53
Cheonho Rodeo,"453-14, Cheonho dong, Gangdong-gu",37.54,127.13
Olympic Park south 4th gate,"180-8 Bangi-dong, Songpa-gu",37.52,127.12
Seoul Station Dongjadong,"14-25, Dongja-dong, Yongsan-gu",37.55,126.97
Mullae Station,"55-5, Mullae-dong 3-ga, Yeongdeungpo-gu",37.52,126.9
Hwagok-dong,"1073-10, Hwagok-dong, Gangseo-gu",37.54,126.84
N Seoul Tower,"yongsan-dong 2ga san 1-11, yongsan-gu",37.55,126.99
Yeongdeungpo kt,"Yeongdeungpo-dong is 8 35-1, Yeongdeungpo-gu",37.53,126.91
Hapjung Xi,"418, Hapjungdong, Mapogu",37.55,126.91
Seocho Jungangro,"52-6, Banpo-dong, Seocho-gu",37.5,127.01
Seogang,"130 Changjeon-dong, Mapo-gu",37.55,126.93
경기대점,191,37.56,126.96
서울극장점,59-7 서울극장 1층,37.57,126.99
포이점,229-1,37.48,127.05
아시아선수촌점,175,37.51,127.08
대한극장점,"19-1 대한극장 1,2층",37.56,127.0
스페이스본점,54 스페이스본 109-110호,37.58,126.97
신림점,1432-71,37.49,126.93
신세계도곡점,467-17 타워팰리스Ⅱ F 지하1층,37.49,127.05
몬테소리점,1318-8,37.5,127.03
영풍문고점,영풍빌딩 영풍문고 내 지하 2층,37.57,126.98
기술센터점,701-7 한국기술센터 1층,37.5,127.04
마포트라팰점,738 마포트라팰리스II,37.55,126.96
보라매타운점,395-66 삼성쉐르빌 1층,37.49,126.92
영등포본동점,"2-21, 2-28 우성타워",37.52,126.91
역삼역점,646-15 우신빌딩 1층,37.5,127.04
가산그레이트점,60-5 갑을 그레이트 밸리 1층,37.48,126.89
선릉역점,708-6 LG화재 빌딩,37.5,127.05
신림포도몰점,1641-2 Podo Mall 1층,37.48,126.93
삼성현대힐점,51,37.51,127.05
길동사거리점,459-4 1층,37.53,127.14
무교동점,45 코오롱빌딩 1층,37.57,126.98
목동파라곤점,917번지 목동파라곤 1층,37.53,126.88
삼성점,144-25 태리타워 1층,37.51,127.06
문화일보점,문화일보사건물 1층,37.57,126.97
건대입구점,5-47,37.54,127.07
강서아이파크점,1095 강서 그랜드 아이파크,37.55,126.85
마포아크로타워점,176-2,37.54,126.95
광교점,43-9,37.57,126.98
자양점,510-5,37.54,127.07
압구정2점,635-13,37.53,127.03
학동역점,87,37.51,127.03
문래동점,77-1 대창타운빌 1층,37.52,126.89
수유역점,418-17,37.64,127.03
주얼리시티점,48-2,37.57,127.0
숭실대점,501-9,37.5,126.95
천호역점,62-4,37.54,127.12
하이브랜드점,215 리빙관 101호,37.46,127.04
숙대점,111-35,37.54,126.97
뉴코아강남점,70-2 뉴코아 1층,37.51,127.01
토마토빌딩점,706-1,37.5,127.04
목동점,"우성에펠타운 101,116,203호",37.54,126.88
건대스타시티점,227-7 스타시티1층 19~21호,37.54,127.07
이대ECC점,이화여자대학교 ECV건물 1층,37.56,126.95
올리브타워점,135 올리브타워 1층,37.56,126.97
마포일진빌딩점,50-1 일진빌딩 1층,37.54,126.95
성대점,154-3,37.58,127.0
큰길타워점,677-25 큰길타워,37.5,127.04
대치역점,507 원플러스상가 107호,37.49,127.06
은평이마트점,90-1,37.6,126.92
광화문점,185-2 현대해상본사사옥 별관내,37.57,126.98
종로3가점,9-3 1-4층,37.57,126.99
이대점,54-4,37.56,126.95
구로하이엔드점,235-2 에이스하이엔드타워 103호,37.48,126.89
압구정미소빌딩점,583-3,37.52,127.03
서소문점,90,37.56,126.98
청량리역점,620-2,37.58,127.04
교대점,1657-5,37.49,127.01
대명거리점,7 1-3층,37.58,127.0
외대점,305-60,37.6,127.06
포스코점,942-5 1층,37.51,127.06
GS타워점,679,37.5,127.04
예술의전당점,1451-95,37.48,127.01
하이테크시티점,54-66,37.51,126.9
태평로점,69-7 대영빌딩 1층,37.56,126.98
경희대점,16-41,37.59,127.05
영동2교점,4-3 대흥빌딩,37.48,127.04
충정타워점,464 충정타워 1층,37.56,126.96
한양대점,"31-410,11 경희빌딩 1,2층",37.56,127.04
새종로점,14-5,37.57,126.99
종각점,2가84-10,37.57,126.98
학여울역점,994-10,37.5,127.07
석촌역점,286-9 우전빌딩 1층,37.5,127.11
홍대갤러리점,343-10 정명빌딩,37.55,126.92
여의도점,23-9,37.52,126.92
강남삼성타운점,1327-5,37.5,127.03
이마트본사점,333-16,37.54,127.05
압구정역점,580-2 관영빌딩 1층 지하1층,37.53,127.03
신세계강남5층점,19-3 신세계강남점 5층,37.51,127.0
상암DMC점,1654 DMC 이안상암1단지 102호,37.58,126.89
신세계영등포B점,434-5 신세계백화점 B관 1층,37.52,126.91
롯데캐슬여의도점,36,37.52,126.93
방배역점,908-10,37.48,127.0
고대안암병원점,고려대병원 126-1,37.59,127.03
당산역점,"304-1 대원빌딩 1,2층",37.53,126.9
순화동더샵점,151 1층,37.56,126.97
대투점,27-3 대한투자신탁,37.52,126.92
신촌2점,5-1 에스프리빌딩 1층,37.56,126.94
현대목동점,916 현대백화점 목동점 지하 2층,37.53,126.88
적선점,66 노스게이트빌딩 1층,37.58,126.97
수서점,731 수서현대벤처빌 지하2층,37.49,127.1
중계은행사거리점,"360-6 중흥빌딩 103,203호",37.65,127.08
가양이마트점,449-19 가양이마트1층,37.56,126.86
신촌점,"18-55 즐거운빌딩 1,2,3층",37.56,126.94
이태원입구점,56-13,37.53,126.99
마로니에공원점,1-115 1-2층,37.58,127.0
W-mall점,60-27 W-Mall 내 지하1층,37.48,126.89
갤러리아팰리스점,40 갤러리아 팰리스,37.51,127.09
반포역점,58-24,37.51,127.01
남산단암점,단암빌딩120,37.56,126.98
연세세브란스종합관,134 성산로 250 연세세브란스종합관,37.56,126.94
선릉점,889-70 세화빌딩 1층,37.5,127.05
서래마을입구점,92-1,37.5,127.0
현대미아점,20-1 현대백화점 미아점 지하 1층,37.61,127.03
고대점,104-30,37.58,127.03
신세계아이앤씨점,197-12 신세계아이엔씨,37.49,126.89
서초역점,1542-14,37.49,127.01
뱅뱅점,1338-7 메트로빌딩 1층,37.49,127.03
캐피탈타워점,736-1,37.5,127.03
잠실역점,"한빛프라자7-17 1층, 2층",37.52,127.1
남부터미널2점,1457-1,37.48,127.01
동빙고점,"10-8, 7-33",37.53,126.99
사당역점,1031-27 양지빌딩 1-2층,37.48,126.98
소공동점,87-10,37.56,126.98
대치점,988-17,37.5,127.06
신촌대로점,20-41,37.56,126.94
대우증권점,34-3 대우증권빌딩1층,37.52,126.93
강남2호점,"1307-19 유빌딩 1,2층",37.5,127.03
용산역점,40-1,37.53,126.96
황학캐슬점,2198 이마트 1층,37.57,127.02
여의도의사당점,13-19 남중빌딩,37.53,126.92
구로에이스트윈타워점,212-1 에이스트윈타워 103호,37.48,126.89
명동미래점,48-2 2층,37.56,126.98
타임스퀘어점,441-10 2층 228호,37.52,126.9
뱅뱅사거리점,946-14,37.49,127.03
구역삼사거리점,747-21,37.5,127.04
남부터미널점,1445-4 래미안 서초유니빌,37.48,127.02
엔터식스점,168-1 엔터식스쇼핑몰 B1,37.56,127.04
가산디지털점,371-28,37.48,126.88
신청담역점,"84-3 삼원빌딩 1,2층",37.53,127.04
강남구청역점,241-7 웰빙센터 1층,37.52,127.04
인사점,39,37.57,126.99
숭례문점,9-1 8필지 남대문업무빌딩 1층,37.56,126.97
경복아파트점,681 금강빌딩 1-2층,37.51,127.04
삼성역사거리점,946-18  대원빌딩,37.51,127.06
서울교대점,1623-1 1층,37.49,127.02
서여의도점,"14-8 극동 VIP빌딩 1층, Seomyeon Hotel Complex",37.53,126.92
Kkachisan-station,"343-1, Hwagok-dong, Gangseo-gu",37.53,126.85
